Timestamp,Gmtoffset,Datetime,Open,High,Low,Close,Volume
1676039400,0,"2023-02-10 14:30:00",7573.779785,7589.020019,7573.779785,7586.140136,
1676039700,0,"2023-02-10 14:35:00",7586.189941,7593.470214,7579.140136,7581.569824,
1676040000,0,"2023-02-10 14:40:00",7580.779785,7580.850097,7566.45996,7573.97998,
1676040300,0,"2023-02-10 14:45:00",7573.410156,7588.240234,7570.270019,7587.620117,
1676040600,0,"2023-02-10 14:50:00",7588.330078,7593.310058,7580.069824,7581.720214,
1676040900,0,"2023-02-10 14:55:00",7580.180175,7587.359863,7579.029785,7582.580078,
1676041200,0,"2023-02-10 15:00:00",7579.839843,7579.839843,7559.080078,7566.970214,
1676041500,0,"2023-02-10 15:05:00",7568.669921,7583.569824,7568.669921,7581.509765,
1676041800,0,"2023-02-10 15:10:00",7582.020019,7605.540039,7581.669921,7600.410156,
1676042100,0,"2023-02-10 15:15:00",7601.060058,7614.089843,7594.899902,7607.589843,
1676042400,0,"2023-02-10 15:20:00",7607.569824,7614.060058,7604.279785,7608.819824,
1676042700,0,"2023-02-10 15:25:00",7609.109863,7610.220214,7600.140136,7603.330078,
1676043000,0,"2023-02-10 15:30:00",7604.910156,7610.100097,7600.580078,7604.220214,
1676043300,0,"2023-02-10 15:35:00",7605.490234,7612.009765,7600.660156,7605.310058,
1676043600,0,"2023-02-10 15:40:00",7603.169921,7603.169921,7589.140136,7594.549804,
1676043900,0,"2023-02-10 15:45:00",7593.649902,7593.680175,7586.240234,7590.040039,
1676044200,0,"2023-02-10 15:50:00",7589.109863,7589.299804,7574.080078,7583.5,
1676044500,0,"2023-02-10 15:55:00",7583.580078,7587.220214,7579.100097,7587.220214,
1676044800,0,"2023-02-10 16:00:00",7586.279785,7593.859863,7586,7589.669921,
1676045100,0,"2023-02-10 16:05:00",7589.600097,7598.910156,7586.859863,7597.350097,
1676045400,0,"2023-02-10 16:10:00",7597.810058,7602.310058,7586.649902,7592.850097,
1676045700,0,"2023-02-10 16:15:00",7594.100097,7602.970214,7592.430175,7602.120117,
1676046000,0,"2023-02-10 16:20:00",7601.850097,7604.220214,7600.259765,7603.270019,
1676046300,0,"2023-02-10 16:25:00",7602.589843,7602.589843,7591.100097,7592.75,
1676046600,0,"2023-02-10 16:30:00",7592.790039,7593.830078,7583.310058,7588.310058,
1676046900,0,"2023-02-10 16:35:00",7587.890136,7594.790039,7587.890136,7589.290039,
1676047200,0,"2023-02-10 16:40:00",7589.200195,7593.100097,7587.220214,7590.240234,
1676047500,0,"2023-02-10 16:45:00",7590.20996,7592.660156,7582.270019,7584.850097,
1676047800,0,"2023-02-10 16:50:00",7585.520019,7587.919921,7583.330078,7587.580078,
1676048100,0,"2023-02-10 16:55:00",7587.560058,7589.410156,7578.629882,7581.47998,
1676048400,0,"2023-02-10 17:00:00",7580.029785,7582.850097,7569.060058,7569.399902,
1676048700,0,"2023-02-10 17:05:00",7569.410156,7575.609863,7569.410156,7572.299804,
1676049000,0,"2023-02-10 17:10:00",7572.680175,7575.540039,7566.100097,7567.549804,
1676049300,0,"2023-02-10 17:15:00",7566.839843,7569.020019,7563.129882,7566.740234,
1676049600,0,"2023-02-10 17:20:00",7566.629882,7576.100097,7566.629882,7574.520019,
1676049900,0,"2023-02-10 17:25:00",7575.299804,7576.160156,7568.200195,7572.910156,
1676050200,0,"2023-02-10 17:30:00",7572.819824,7586.359863,7571.939941,7579.200195,
1676050500,0,"2023-02-10 17:35:00",7579.390136,7583.279785,7577.859863,7578.029785,
1676050800,0,"2023-02-10 17:40:00",7577.95996,7585.20996,7577.540039,7579.129882,
1676051100,0,"2023-02-10 17:45:00",7579.45996,7586.080078,7577.580078,7579.569824,
1676051400,0,"2023-02-10 17:50:00",7579.70996,7585.180175,7578.109863,7584.779785,
1676051700,0,"2023-02-10 17:55:00",7584.859863,7592.149902,7584.5,7592.149902,
1676052000,0,"2023-02-10 18:00:00",7592.189941,7595.419921,7590.609863,7591.870117,
1676052300,0,"2023-02-10 18:05:00",7591.859863,7596.089843,7589.629882,7593.279785,
1676052600,0,"2023-02-10 18:10:00",7593.379882,7596.080078,7592.319824,7595.549804,
1676052900,0,"2023-02-10 18:15:00",7597.5,7608.129882,7597.5,7608.120117,
1676053200,0,"2023-02-10 18:20:00",7607.859863,7615.089843,7607.859863,7610.740234,
1676053500,0,"2023-02-10 18:25:00",7610.399902,7613.430175,7605.299804,7605.669921,
1676053800,0,"2023-02-10 18:30:00",7605.509765,7605.509765,7599.330078,7603.720214,
1676054100,0,"2023-02-10 18:35:00",7603.560058,7606.560058,7601.490234,7604.47998,
1676054400,0,"2023-02-10 18:40:00",7604.109863,7604.109863,7593.47998,7594.390136,
1676054700,0,"2023-02-10 18:45:00",7594.529785,7600.450195,7593.029785,7599.910156,
1676055000,0,"2023-02-10 18:50:00",7600,7600.990234,7595.069824,7597.120117,
1676055300,0,"2023-02-10 18:55:00",7596.140136,7596.140136,7590.020019,7590.259765,
1676055600,0,"2023-02-10 19:00:00",7590.490234,7592.319824,7585.089843,7586.270019,
1676055900,0,"2023-02-10 19:05:00",7586.799804,7587.879882,7584.779785,7586.839843,
1676056200,0,"2023-02-10 19:10:00",7586.609863,7592.350097,7586.609863,7591.069824,
1676056500,0,"2023-02-10 19:15:00",7591.399902,7595.029785,7589.060058,7591.95996,
1676056800,0,"2023-02-10 19:20:00",7591.649902,7593.549804,7589.759765,7589.95996,
1676057100,0,"2023-02-10 19:25:00",7589.899902,7589.899902,7583.649902,7584.910156,
1676057400,0,"2023-02-10 19:30:00",7584.370117,7594.45996,7580.620117,7594.120117,
1676057700,0,"2023-02-10 19:35:00",7594.020019,7596.22998,7590.040039,7593.399902,
1676058000,0,"2023-02-10 19:40:00",7593.509765,7594,7586.149902,7591.200195,
1676058300,0,"2023-02-10 19:45:00",7591.350097,7592.95996,7586.240234,7592.089843,
1676058600,0,"2023-02-10 19:50:00",7591.810058,7602.339843,7591.330078,7602.339843,
1676058900,0,"2023-02-10 19:55:00",7601.359863,7602.939941,7598.72998,7601.310058,
