Date,Open,High,Low,Close,Adjusted_close,Volume
1927-12-31,17.66,17.66,17.66,17.66,17.66,0
1928-03-31,17.76,19.28,16.95,19.28,19.28,0
1928-06-30,18.91,20.44,18.34,19.14,19.14,0
1928-09-30,18.98,21.43,18.7,21.14,21.14,0
1928-12-31,21.36,24.35,21.11,24.35,24.35,0
1929-03-31,24.81,26.08,24.17,25.53,25.53,0
1929-06-30,24.88,27.41,24.2,27.41,27.41,0
1929-09-30,27.77,31.86,27.77,30.16,30.16,0
1929-12-31,29.98,30.81,17.66,21.45,21.45,0
1930-03-31,21.18,24.85,21.18,24.15,24.15,0
1930-06-30,25.37,25.92,19.39,20.46,20.46,0
1930-09-30,20.24,21.86,18.59,18.59,18.59,0
1930-12-31,19.42,19.42,14.44,15.34,15.34,0
1931-03-31,15.85,18.17,15.09,16.69,16.69,0
1931-06-30,16.52,16.72,12.2,14.83,14.83,0
1931-09-30,15.07,15.26,9.71,9.71,9.71,0
1931-12-31,9.53,11.52,7.72,8.12,8.12,0
1932-03-31,7.56,8.98,7.31,7.31,7.31,0
1932-06-30,7.18,7.18,4.4,4.43,4.43,0
1932-09-30,4.6,9.31,4.41,8.08,8.08,0
1932-12-31,8.06,8.06,6.42,6.92,6.92,0
1933-03-31,6.83,7.34,5.53,5.85,5.85,0
1933-06-30,5.87,10.98,5.87,10.91,10.91,0
1933-09-30,11.62,12.2,9.65,9.72,9.72,0
1933-12-31,9.62,10.32,8.61,9.97,9.97,0
1934-03-31,10.11,11.82,9.76,10.62,10.62,0
1934-06-30,10.76,11.16,9.38,9.81,9.81,0
1934-09-30,9.69,9.99,8.36,9.08,9.08,0
1934-12-31,8.83,9.56,8.76,9.5,9.5,0
1935-03-31,9.51,9.58,8.06,8.45,8.45,0
1935-06-30,8.54,10.47,8.22,10.24,10.24,0
1935-09-30,10.28,11.92,10.28,11.59,11.59,0
1935-12-31,11.48,13.46,11.1,13.43,13.43,0
1936-03-31,13.4,15.1,13.4,14.92,14.92,0
