Timestamp,Gmtoffset,Datetime,Open,High,Low,Close,Volume
1668436200,0,"2022-11-14 14:30:00",3977.96997,3981.679931,3973.820068,3975.95996,42653339
1668436500,0,"2022-11-14 14:35:00",3975.879882,3983.790039,3974.790039,3983.530029,44182726
1668436800,0,"2022-11-14 14:40:00",3983.5,3984.300048,3971.350097,3972.20996,43152592
1668437100,0,"2022-11-14 14:45:00",3972.270019,3974.070068,3966.389892,3973.149902,45412018
1668437400,0,"2022-11-14 14:50:00",3973.120117,3977.520019,3972.820068,3975.290039,39806132
1668437700,0,"2022-11-14 14:55:00",3975.389892,3979.149902,3973.770019,3977.73999,67296906
1668438000,0,"2022-11-14 15:00:00",3977.929931,3985.550048,3977.929931,3982.580078,38942683
1668438300,0,"2022-11-14 15:05:00",3982.550048,3989.270019,3979.71997,3987.830078,36357065
1668438600,0,"2022-11-14 15:10:00",3987.70996,3991.649902,3985.48999,3990.020019,33792287
1668438900,0,"2022-11-14 15:15:00",3990.060058,3996.47998,3990.060058,3992.510009,32076366
1668439200,0,"2022-11-14 15:20:00",3992.429931,3995.179931,3989.100097,3989.100097,30489332
1668439500,0,"2022-11-14 15:25:00",3989.020019,3989.560058,3983.22998,3986.290039,28050548
1668439800,0,"2022-11-14 15:30:00",3986.260009,3991.760009,3984.270019,3990.20996,29664649
1668440100,0,"2022-11-14 15:35:00",3990.280029,3990.280029,3986.020019,3989.610107,30190617
1668440400,0,"2022-11-14 15:40:00",3989.610107,3994.050048,3989.530029,3990.669921,27163878
1668440700,0,"2022-11-14 15:45:00",3990.669921,3990.889892,3987.899902,3988.439941,26626500
1668441000,0,"2022-11-14 15:50:00",3988.399902,3991.280029,3986.71997,3990.98999,26545555
1668441300,0,"2022-11-14 15:55:00",3990.870117,3994.590087,3989.659912,3991.699951,29284590
1668441600,0,"2022-11-14 16:00:00",3991.5,3993.199951,3985.290039,3986.330078,31195923
1668441900,0,"2022-11-14 16:05:00",3986.560058,3988.610107,3984.379882,3987.110107,22600121
1668442200,0,"2022-11-14 16:10:00",3987.100097,3987.370117,3976.560058,3977.520019,26574988
1668442500,0,"2022-11-14 16:15:00",3977.550048,3978.520019,3971.389892,3973.379882,24263930
1668442800,0,"2022-11-14 16:20:00",3973.439941,3976.810058,3972.780029,3975.060058,25967785
1668443100,0,"2022-11-14 16:25:00",3975.040039,3977.46997,3974.530029,3975.510009,23673207
1668443400,0,"2022-11-14 16:30:00",3975.409912,3987.600097,3973.629882,3987.600097,29246510
1668443700,0,"2022-11-14 16:35:00",3987.850097,3990.860107,3986.699951,3987,23922352
1668444000,0,"2022-11-14 16:40:00",3987.010009,3989.159912,3985.560058,3987.399902,21094948
1668444300,0,"2022-11-14 16:45:00",3987.389892,3991.659912,3987.389892,3990.010009,22941534
1668444600,0,"2022-11-14 16:50:00",3989.98999,3990.790039,3984.189941,3985.110107,21259960
