Date,Open,High,Low,Close,Adjusted_close,Volume
1980-12-31,28.7392,36.1312,25.2448,34.1152,0.1183,1344851200
1981-06-30,34.496,34.7424,21.616,26.0064,0.0902,3709238400
1981-12-31,25.872,26.2528,14.2464,22.1312,0.0768,4487705600
1982-06-30,22.1312,22.1312,12.7456,12.7456,0.0442,6469433600
1982-12-31,12.7456,34.8768,10.9984,29.8816,0.1037,14895574400
1983-06-30,29.8816,63.2576,27.2608,48.8768,0.1696,18611376000
1983-12-31,48.8768,49.7504,17.248,24.3712,0.0845,25901635200
1984-06-30,24.3712,34.384,22.3776,26.4992,0.0919,21143584000
1984-12-31,26.4992,30.8672,21.8848,29.12,0.101,20835449600
1985-06-30,29.12,31.136,14.7392,18.0096,0.0625,29033939200
1985-12-31,18.1216,22.8704,14.4928,21.9968,0.0763,16458332800
1986-06-30,21.9968,39.1328,21.7504,35.8848,0.1245,27457091200
1986-12-31,35.8848,43.8816,29.9936,40.4992,0.1405,25866131200
1987-06-30,40.3648,82.2528,38.0016,40.4992,0.2814,34994064000
1987-12-31,40.7456,59.752,27.6304,42.0,0.2929,24777244800
1988-06-30,42.7504,47.7456,37.3744,46.2448,0.3237,23943337600
1988-12-31,46.5024,47.4992,35.504,40.2528,0.2831,17349640000
1989-06-30,40.2528,50.2544,33.4992,41.2496,0.2915,29252865600
1989-12-31,41.7536,50.3776,32.5024,35.2464,0.2503,21652960000
1990-06-30,35.2464,44.8784,32.1216,44.7552,0.3197,22498022400
1990-12-31,44.4976,47.7456,24.248,42.9968,0.3091,21903918400
1991-06-30,42.7504,73.248,40.2528,41.496,0.2997,37101243200
1991-12-31,42.2464,58.0048,41.7536,56.3696,0.409,20246408000
1992-06-30,55.7536,70.0,42.7504,48.0032,0.3497,21710617600
1992-12-31,48.0032,61.2528,41.496,59.752,0.4373,19427296000
1993-06-30,59.5056,65.2512,38.5056,39.5024,0.2904,28644425600
1993-12-31,38.9984,39.7488,21.9968,29.2544,0.2168,27808502400
1994-06-30,29.5008,38.5056,24.6288,26.4992,0.1978,28950062400
1994-12-31,26.376,43.7472,25.3792,38.9984,0.293,28205833600
1995-06-30,38.8752,50.12,33.6224,46.4352,0.3508,38039512000
1995-12-31,46.5024,49.8736,31.6288,31.8752,0.2422,36227027200
1996-06-30,32.2448,35.504,19.6224,21.0,0.1596,29443982400
1996-12-31,21.1232,27.7536,16.0048,20.8768,0.1587,23750238400
1997-06-30,21.1232,22.2544,14.0,14.2464,0.1083,26823888000
1997-12-31,13.9328,29.568,12.7456,13.1264,0.0998,45139472000
1998-06-30,13.6304,31.6288,13.496,28.6832,0.218,46986788800
1998-12-31,28.8736,43.7472,28.504,40.936,0.3111,68207406400
1999-06-30,42.1232,49.9968,31.9984,46.312,0.3519,64912411200
1999-12-31,46.312,118.0032,45.192,102.816,0.7813,72190294400
2000-06-30,104.8768,150.3712,50.3104,52.3768,0.7961,55148676800
2000-12-31,52.1248,64.1256,13.6248,14.8736,0.2261,65152920000
2001-06-30,14.8736,27.1208,14.4368,23.2512,0.3534,57797980800
2001-12-31,23.6376,25.2224,14.6776,21.9016,0.3329,36859816000
2002-06-30,22.0528,26.1688,15.9824,17.7184,0.2693,42778394400
2002-12-31,17.7072,18.788,13.3616,14.3304,0.2178,34235532800
2003-06-30,14.3584,19.6896,12.7176,19.0624,0.2897,38888763200
2003-12-31,18.872,25.0096,18.508,21.3696,0.3248,32341489600
2004-06-30,21.5488,34.188,21.1792,32.5416,0.4946,46937632000
2004-12-31,32.0992,69.5688,28.7392,64.4,0.9788,74864036800
2005-06-30,64.7808,90.8824,33.11,36.8088,1.1189,105394119600
2005-12-31,36.8312,75.46,36.2908,71.89,2.1853,77006862800
2006-06-30,72.38,86.3996,55.4092,57.2712,1.7409,117496386000
2006-12-31,57.5204,93.1588,50.1592,84.84,2.5789,98202580000
2007-06-30,86.2904,127.61,81.9,122.0408,3.7097,110955129600
2007-12-31,121.0496,202.9608,111.6192,198.0804,6.0211,136040856000
2008-06-30,199.2704,200.2588,115.4412,167.44,5.0898,143818108000
2008-12-31,164.2312,180.9108,79.1392,85.3496,2.5944,142163098000
2009-06-30,85.8788,146.4008,78.2012,142.4304,4.3295,81352185600
2009-12-31,143.5,213.9508,134.4196,210.7308,6.4057,61901501200
2010-06-30,213.43,279.0088,190.2488,251.5296,7.6459,85200284400
2010-12-31,254.2988,326.6592,235.5612,322.56,9.805,65824642800
2011-06-30,325.64,364.8988,310.5004,335.6696,10.2035,56873684000
2011-12-31,335.9496,426.7004,334.1996,405.0004,12.311,67185655600
