Date,Open,High,Low,Close,Adjusted_close,Volume
2010-06-29,18.9999,30.4191,17.5401,23.8299,1.5887,539665057
2010-07-01,24.9999,25.92,14.9799,19.9401,1.3293,969508158
2010-08-02,20.4999,22.1799,17.3901,19.4799,1.2987,225755183
2010-09-01,19.62,23.16,19.5,20.4051,1.3603,270733671
2010-10-01,20.6901,21.87,20.0001,21.84,1.456,98288130
2010-11-01,21.9399,36,21.0501,35.3301,2.3553,424840827
2010-12-01,35.8701,36.42,24.9999,26.6301,1.7753,553523046
2011-01-03,26.8401,28.71,22.3701,24.0999,1.6067,426453265
2011-02-01,24.3099,25.4901,21.1101,23.8899,1.5927,439757365
2011-03-01,24.0501,28.71,21.7701,27.75,1.85,488517504
2011-04-01,27.45,28.1799,24.2001,27.6,1.84,448752578
2011-05-02,27.6,30.2799,25.5201,30.1401,2.0093,455303379
2011-06-01,30,31.5,25.5,29.13,1.942,596005563
2011-07-01,29.07,30.4401,26.6301,28.17,1.878,316583518
2011-08-01,28.6701,29.1999,21.5001,24.7401,1.6493,408359607
2011-09-01,24.66,26.9901,22.29,24.39,1.626,270326582
2011-10-03,24.9501,30,22.9299,29.37,1.958,324949033
2011-11-01,28.3899,35.0001,27.9999,32.7399,2.1827,387831598
2011-12-01,32.5701,35.0001,26.0301,28.56,1.904,316943685
2012-01-03,28.9401,30,22.6401,29.07,1.938,384242789
2012-02-01,29.07,34.9701,29.0001,33.4101,2.2273,347960656
2012-03-01,33.51,39.9501,32.6199,37.2399,2.4827,332478647
2012-04-02,37.3299,38.4696,30.9999,33.1299,2.2087,341425889
2012-05-01,33.1299,34.68,26.8299,29.4999,1.9667,512782446
2012-06-01,28.53,34.5,27.1101,31.29,2.086,391992851
2012-07-02,31.35,36,27.21,27.42,1.828,488211038
2012-08-01,27.99,31.2999,25.5201,28.5201,1.9013,367227239
2012-09-04,28.5201,32.7801,27.2949,29.28,1.952,499536007
2012-10-01,29.4999,30.0999,26.8599,28.1313,1.8754,264385369
2012-11-01,28.2501,34.29,28.2,33.8199,2.2547,356457551
2012-12-03,33.8901,35.7999,32.7501,33.87,2.258,325739103
2013-01-02,35.0001,38.7099,32.1099,37.5099,2.5007,426956367
2013-02-01,38.1699,39.9999,33.8001,34.83,2.322,663897195
