Timestamp,Gmtoffset,Datetime,Open,High,Low,Close,Volume
1668211200,0,"2022-11-12 00:00:00",17036.875,17066.675781,17036.875,17066.675781,
1668211500,0,"2022-11-12 00:05:00",17057.90625,17057.90625,17028.955078,17030.041015,
1668211800,0,"2022-11-12 00:10:00",17020.376953,17020.376953,17004.693359,17004.693359,
1668212100,0,"2022-11-12 00:15:00",17002.611328,17002.611328,16972.308593,16972.308593,
1668212400,0,"2022-11-12 00:20:00",16963.30664,16968.544921,16957.058593,16957.058593,
1668212700,0,"2022-11-12 00:25:00",16950.90625,16950.90625,16941.935546,16942.234375,
1668213000,0,"2022-11-12 00:30:00",16938.533203,16938.533203,16927.830078,16927.830078,
1668213300,0,"2022-11-12 00:35:00",16923.707031,16942.291015,16923.707031,16942.132812,40177664
1668213600,0,"2022-11-12 00:40:00",16941.916015,16941.916015,16909.546875,16909.546875,
1668213900,0,"2022-11-12 00:45:00",16905.927734,16905.927734,16892.568359,16898.373046,5636096
1668214200,0,"2022-11-12 00:50:00",16908.800781,16912.349609,16908.800781,16909.810546,50479104
1668214500,0,"2022-11-12 00:55:00",16902.017578,16902.017578,16878.886718,16878.886718,3170304
1668214800,0,"2022-11-12 01:00:00",16879.626953,16885.167968,16879.626953,16885.167968,
1668215100,0,"2022-11-12 01:05:00",16883.392578,16883.392578,16871.757812,16871.757812,
1668215400,0,"2022-11-12 01:10:00",16865.505859,16865.505859,16859.169921,16859.169921,
1668215700,0,"2022-11-12 01:15:00",16857.96289,16876.550781,16857.96289,16876.550781,1814528
1668216000,0,"2022-11-12 01:20:00",16877.939453,16882.880859,16877.939453,16878.90625,
1668216300,0,"2022-11-12 01:25:00",16879.929687,16884.949218,16879.929687,16883.166015,
1668216600,0,"2022-11-12 01:30:00",16881.974609,16881.974609,16867.634765,16867.634765,122880
1668216900,0,"2022-11-12 01:35:00",16861.746093,16861.746093,16836.177734,16836.177734,
1668217200,0,"2022-11-12 01:40:00",16831.65039,16853.273437,16829.912109,16853.273437,
1668217500,0,"2022-11-12 01:45:00",16859.814453,16877.941406,16859.814453,16877.941406,19550208
1668217800,0,"2022-11-12 01:50:00",16894.265625,16895.583984,16894.123046,16895.583984,27705344
1668218100,0,"2022-11-12 01:55:00",16892.654296,16892.654296,16887.830078,16887.919921,
1668218400,0,"2022-11-12 02:00:00",16886.519531,16886.519531,16863.515625,16863.515625,
1668218700,0,"2022-11-12 02:05:00",16865.626953,16879.705078,16865.626953,16879.705078,
